rank,chamber,city,region,members,members_bound,activity_score,position_score,founding_year,reach,activity,position,longevity,score,dimensions_present,weight_coverage
1,马来西亚中华总商会,吉隆坡,东南亚地区,110000.0,,5.0,3.0,1921,1.0,1.0,0.333,0.936,86.0,4,1.0
2,新加坡中华总商会,新加坡,东南亚地区,5160.0,,3.0,5.0,1906,0.554,0.5,1.0,0.983,67.0,4,1.0
3,中非民间商会,约翰内斯堡,非洲地区,3005.0,,5.0,3.0,2010,0.475,1.0,0.333,0.264,58.3,4,1.0
4,美国华人商会,洛杉矶,北美地区,3150.0,above,,5.0,2014,0.482,,1.0,0.157,58.3,3,0.7
5,欧盟中国商会,布鲁塞尔,欧洲地区,1050.0,above,5.0,4.0,2018,0.321,1.0,0.667,0.0,56.2,4,1.0
6,俄罗斯中国总商会,莫斯科,东欧及北亚地区,4000.0,,,4.0,2006,0.517,,0.667,0.346,53.5,3,0.7
7,美国中国商会,纽约,北美地区,1050.0,above,3.0,5.0,2005,0.321,0.5,1.0,0.364,51.5,4,1.0
8,越南中国商会,河内,东南亚地区,665.0,below,5.0,3.0,2001,0.255,1.0,0.333,0.427,51.1,4,1.0
9,美国纽约华人总商会,纽约,北美地区,550.0,above,,5.0,1991,0.227,,1.0,0.548,49.4,3,0.7
10,法国华侨华人会,巴黎,欧洲地区,1260.0,above,,4.0,1971,0.348,,0.667,0.709,49.1,3,0.7
11,加拿大中华总商会,多伦多,北美地区,1680.0,above,,4.0,1995,0.39,,0.667,0.505,48.5,3,0.7
12,香港中华总商会,香港,东亚地区,6000.0,,1.0,4.0,1900,0.576,0.0,0.667,1.0,46.4,4,1.0
13,澳中工商业委员会,堪培拉,大洋洲,770.0,above,3.0,4.0,1973,0.276,0.5,0.667,0.696,46.3,4,1.0
14,北美华商联合会,温哥华,北美地区,1500.0,,,4.0,2007,0.373,,0.667,0.328,45.1,3,0.7
15,日本中华总商会,东京,东亚地区,500.0,,3.0,4.0,1999,0.213,0.5,0.667,0.455,41.4,4,1.0
16,美国福建商业联合总会,芝加哥,北美地区,400.0,below,,5.0,2015,0.181,,1.0,0.124,40.7,3,0.7
17,阿联酋中国商会,迪拜,西南亚地区,150.0,,3.0,5.0,2004,0.037,0.5,1.0,0.381,40.3,4,1.0
18,秘鲁秘中商会,利马,南美地区,315.0,above,5.0,2.0,2001,0.146,1.0,0.0,0.427,40.1,4,1.0
19,日本吉林总商会,东京,东亚地区,840.0,above,,4.0,2014,0.289,,0.667,0.157,37.8,3,0.7
20,阿根廷华侨中华总商会,Buenos Aire,南美地区,525.0,above,,4.0,2006,0.22,,0.667,0.346,36.6,3,0.7
21,缅甸中华总商会,仰光,东南亚地区,3500.0,,1.0,3.0,1909,0.497,0.0,0.333,0.974,36.3,4,1.0
22,法国中国工商会,巴黎,欧洲地区,116.0,,,4.0,1901,0.0,,0.667,0.997,33.3,3,0.7
23,法国温州商会,巴黎,欧洲地区,210.0,above,,4.0,2001,0.087,,0.667,0.427,30.1,3,0.7
24,韩国中华总商会,首尔,东亚地区,200.0,,3.0,3.0,2001,0.079,0.5,0.333,0.427,29.1,4,1.0
25,荷兰中国总商会,阿姆斯特丹,欧洲地区,210.0,above,,4.0,2008,0.087,,0.667,0.308,28.4,3,0.7
26,新西兰中国商会,奥克兰,大洋洲,150.0,,,4.0,2002,0.037,,0.667,0.413,27.1,3,0.7
27,柬埔寨中国商会,金边,东南亚地区,550.0,above,1.0,3.0,1996,0.227,0.0,0.333,0.493,20.7,4,1.0
28,印度尼西亚中华总商会,雅加达,东南亚地区,440.0,above,1.0,3.0,2001,0.194,0.0,0.333,0.427,18.7,4,1.0
29,菲律宾华商联合总会,马尼拉,东南亚地区,170.0,,1.0,3.0,1954,0.056,0.0,0.333,0.804,16.9,4,1.0
30,尼日利亚中国总商会,阿布贾,非洲地区,168.0,above,,2.0,2009,0.054,,0.0,0.287,7.2,3,0.7
